Month_id,Origin,0
2000-10,EWR,10528
2000-10,IAH,11100
2000-10,LAS,11569
2000-10,LAX,17606
2000-10,LGA,9051
2000-10,MSP,12258
2000-10,ORD,24757
2000-10,PHL,10296
2000-10,PHX,15717
2000-10,SEA,8769
2000-10,SFO,10846
2000-10,SLC,6790
2000-10,STL,13960
2000-11,ATL,20752
2000-11,BOS,9226
2000-11,CLT,10724
2000-11,CVG,5598
2000-11,DEN,10389
2000-11,DFW,19348
2000-11,DTW,12116
2000-11,EWR,9945
2000-11,IAH,10625
2000-11,LAS,11210
2000-11,LAX,16749
2000-11,LGA,8899
2000-11,MSP,11426
2000-11,ORD,22945
2000-11,PHL,9830
2000-11,PHX,15222
2000-11,SEA,8023
2000-11,SFO,10297
2000-11,SLC,6363
2000-11,STL,13255
2000-12,ATL,19886
2000-12,BOS,8559
2000-12,CLT,10734
2000-12,CVG,5242
2000-12,DEN,11165
2000-12,DFW,18632
2000-12,DTW,11563
2000-12,EWR,9553
2000-12,IAH,10820
2000-12,LAS,11343
2000-12,LAX,16958
2000-12,LGA,8232
2000-12,MSP,11412
2000-12,ORD,21326
2000-12,PHL,9677
2000-12,PHX,15727
2000-12,SEA,8324
2000-12,SFO,10374
2000-12,SLC,6382
2000-12,STL,12866
2001-01,ATL,21353
2001-01,BOS,10947
2001-01,CLT,10911
2001-01,CVG,5716
2001-01,DEN,11222
2001-01,DFW,26912
2001-01,DTW,12249
2001-01,EWR,10028
2001-01,IAH,11101
2001-01,LAS,11450
2001-01,LAX,19624
2001-01,LGA,10126
2001-01,MSP,11611
2001-01,ORD,27782
2001-01,PHL,10080
2001-01,PHX,16018
2001-01,SEA,8225
2001-01,SFO,10348
2001-01,SLC,6605
2001-01,STL,13811
2001-02,ATL,19196
2001-02,BOS,9937
2001-02,CLT,9834
2001-02,CVG,5073
2001-02,DEN,10154
2001-02,DFW,24218
2001-02,DTW,11177
2001-02,EWR,9402
2001-02,IAH,10058
2001-02,LAS,10453
2001-02,LAX,17679
2001-02,LGA,9091
2001-02,MSP,10472
2001-02,ORD,25119
2001-02,PHL,9152
2001-02,PHX,14510
2001-02,SEA,7335
2001-02,SFO,9451
2001-02,SLC,5947
2001-02,STL,12304
2001-03,ATL,21342
2001-03,BOS,10471
2001-03,CLT,10840
2001-03,CVG,5636
2001-03,DEN,11653
2001-03,DFW,27262
2001-03,DTW,12566
2001-03,EWR,10154
2001-03,IAH,11190
2001-03,LAS,11683
2001-03,LAX,19656
2001-03,LGA,9607
2001-03,MSP,11932
2001-03,ORD,28496
2001-03,PHL,10121
2001-03,PHX,16236
2001-03,SEA,8294
2001-03,SFO,10147
2001-03,SLC,6671
2001-03,STL,13890
2001-04,ATL,20978
2001-04,BOS,11313
2001-04,CLT,10787
2001-04,CVG,5536
2001-04,DEN,10803
2001-04,DFW,26262
2001-04,DTW,12603
2001-04,EWR,10289
2001-04,IAH,10786
2001-04,LAS,11172
2001-04,LAX,19128
2001-04,LGA,10138
2001-04,MSP,11493
2001-04,ORD,27766
2001-04,PHL,10111
2001-04,PHX,15507
2001-04,SEA,8280
2001-04,SFO,10016
2001-04,SLC,6354
2001-04,STL,13305
2001-05,ATL,21341
2001-05,BOS,11903
2001-05,CLT,11241
2001-05,CVG,5670
2001-05,DEN,11692
2001-05,DFW,26973
2001-05,DTW,13041
2001-05,EWR,10532
2001-05,IAH,11106
2001-05,LAS,11498
2001-05,LAX,19879
